item_code,item,unit,unit_code,average_factor_kg,waste
1008,NA,NA,NA,NA,0
1011,NA,NA,NA,NA,0
1012,NA,NA,NA,NA,0
1014,NA,NA,NA,NA,0
1015,NA,NA,NA,NA,0.1
1020,NA,NA,NA,NA,0
1021,NA,NA,NA,NA,0
1022,NA,NA,NA,NA,0.15
1024,NA,NA,NA,NA,0.05
1025,NA,NA,NA,NA,0.15
1026,NA,NA,NA,NA,0
1027,NA,NA,NA,NA,0
1028,NA,NA,NA,NA,0.05
1029,NA,NA,NA,NA,0
1031,NA,NA,NA,NA,0.15
1032,NA,NA,NA,NA,0.05
1033,NA,NA,NA,NA,0
1036,NA,NA,NA,NA,0
1038,NA,NA,NA,NA,0
1044,NA,NA,NA,NA,0.1
1046,NA,NA,NA,NA,0.15
1049,NA,NA,NA,NA,0
1050,NA,NA,NA,NA,0
1056,NA,NA,NA,NA,0
1057,NA,NA,NA,NA,0
1061,NA,NA,NA,NA,0
1062,NA,NA,NA,NA,0
1066,NA,NA,NA,NA,0
1068,NA,NA,NA,NA,0.1
1072,NA,NA,NA,NA,0
1081,NA,NA,NA,NA,0
1082,NA,NA,NA,NA,0.1
1083,NA,NA,NA,NA,0
1088,NA,NA,NA,NA,0
5021,NA,NA,NA,NA,0.1
5022,NA,NA,NA,NA,0.1
5031,NA,NA,NA,NA,0.1
5032,NA,NA,NA,NA,0.1
5121,NA,NA,NA,NA,0.1
5122,NA,NA,NA,NA,0.1
311,NA,NA,NA,NA,0
312,NA,NA,NA,NA,0.3
313,NA,NA,NA,NA,0.3
833,NA,NA,NA,NA,0.3
